epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,381.53,2.86873,1.41998,0.89267,0.414,0.33983,0.30379,0.09578,2.81861,1.49666,0.88437,0.0010496,0.0010496,0.0010496
98,386.937,3.20251,1.60711,0.88547,0.39896,0.324,0.29147,0.0988,2.77452,1.4741,0.88114,0.0010397,0.0010397,0.0010397
99,390.502,2.97168,1.69675,0.90739,0.39896,0.324,0.29147,0.0988,2.77452,1.4741,0.88114,0.0010298,0.0010298,0.0010298
100,393.842,3.0827,1.78526,0.90479,0.39896,0.324,0.29147,0.0988,2.77452,1.4741,0.88114,0.0010199,0.0010199,0.0010199
101,398.139,4.4241,3.16505,0.988,0.39896,0.324,0.29147,0.0988,2.77452,1.4741,0.88114,0.00101,0.00101,0.00101
102,402.093,2.62814,1.45271,0.89839,0.37724,0.338,0.28316,0.09405,2.81394,1.46732,0.88096,0.0010001,0.0010001,0.0010001
103,406.76,2.7273,1.45226,0.86925,0.37724,0.338,0.28316,0.09405,2.81394,1.46732,0.88096,0.0009902,0.0009902,0.0009902
104,411.244,2.70142,1.53107,0.87993,0.37724,0.338,0.28316,0.09405,2.81394,1.46732,0.88096,0.0009803,0.0009803,0.0009803
105,415.232,2.49213,1.43221,0.89118,0.37724,0.338,0.28316,0.09405,2.81394,1.46732,0.88096,0.0009704,0.0009704,0.0009704
106,420.528,2.69261,1.48746,0.88013,0.32176,0.32095,0.23429,0.06833,3.05623,1.44634,0.89238,0.0009605,0.0009605,0.0009605
107,425.345,2.97691,1.62303,0.86017,0.32176,0.32095,0.23429,0.06833,3.05623,1.44634,0.89238,0.0009506,0.0009506,0.0009506
108,429.088,3.80172,2.38888,0.85375,0.32176,0.32095,0.23429,0.06833,3.05623,1.44634,0.89238,0.0009407,0.0009407,0.0009407
109,433.377,2.46473,1.32793,0.85738,0.32176,0.32095,0.23429,0.06833,3.05623,1.44634,0.89238,0.0009308,0.0009308,0.0009308
110,437.084,2.56003,1.37229,0.87034,0.29094,0.28258,0.19857,0.05147,3.28285,1.45224,0.90548,0.0009209,0.0009209,0.0009209
111,441.379,2.87586,1.36534,0.85893,0.29094,0.28258,0.19857,0.05147,3.28285,1.45224,0.90548,0.000911,0.000911,0.000911
112,444.472,2.88194,1.48978,0.88245,0.29094,0.28258,0.19857,0.05147,3.28285,1.45224,0.90548,0.0009011,0.0009011,0.0009011
113,447.796,2.74939,1.61399,0.90906,0.29094,0.28258,0.19857,0.05147,3.28285,1.45224,0.90548,0.0008912,0.0008912,0.0008912
114,452.067,4.17827,3.61328,0.96914,0.25748,0.28502,0.18852,0.04754,3.38009,1.45894,0.91208,0.0008813,0.0008813,0.0008813
115,455.444,2.64914,1.4894,0.87065,0.25748,0.28502,0.18852,0.04754,3.38009,1.45894,0.91208,0.0008714,0.0008714,0.0008714
116,459.446,3.30713,1.6333,0.87535,0.25748,0.28502,0.18852,0.04754,3.38009,1.45894,0.91208,0.0008615,0.0008615,0.0008615
117,463.613,3.56353,2.7284,0.87244,0.25748,0.28502,0.18852,0.04754,3.38009,1.45894,0.91208,0.0008516,0.0008516,0.0008516
118,467.823,3.01982,1.45511,0.83905,0.24788,0.26614,0.18291,0.04285,3.47855,1.46478,0.91826,0.0008417,0.0008417,0.0008417
119,472.735,2.70355,1.44539,0.91586,0.24788,0.26614,0.18291,0.04285,3.47855,1.46478,0.91826,0.0008318,0.0008318,0.0008318
120,475.819,3.38064,1.62359,0.87208,0.24788,0.26614,0.18291,0.04285,3.47855,1.46478,0.91826,0.0008219,0.0008219,0.0008219
121,479.181,2.76972,1.61723,0.8903,0.24788,0.26614,0.18291,0.04285,3.47855,1.46478,0.91826,0.000812,0.000812,0.000812
122,482.977,2.77638,1.72923,0.90457,0.29099,0.28015,0.20765,0.05224,3.33826,1.44936,0.91051,0.0008021,0.0008021,0.0008021
123,487.227,2.80839,1.42935,0.86135,0.29099,0.28015,0.20765,0.05224,3.33826,1.44936,0.91051,0.0007922,0.0007922,0.0007922
124,491.082,2.59094,1.44869,0.89156,0.29099,0.28015,0.20765,0.05224,3.33826,1.44936,0.91051,0.0007823,0.0007823,0.0007823
125,495.762,2.51027,1.28527,0.84327,0.29099,0.28015,0.20765,0.05224,3.33826,1.44936,0.91051,0.0007724,0.0007724,0.0007724
126,499.479,2.74484,1.39511,0.90088,0.32757,0.33524,0.25364,0.07784,2.95522,1.40005,0.88705,0.0007625,0.0007625,0.0007625
127,503.397,2.55105,1.31337,0.87502,0.32757,0.33524,0.25364,0.07784,2.95522,1.40005,0.88705,0.0007526,0.0007526,0.0007526
128,506.784,2.69121,1.50718,0.84469,0.32757,0.33524,0.25364,0.07784,2.95522,1.40005,0.88705,0.0007427,0.0007427,0.0007427
129,510.266,2.68483,1.33437,0.91033,0.32757,0.33524,0.25364,0.07784,2.95522,1.40005,0.88705,0.0007328,0.0007328,0.0007328
130,515.784,4.47379,4.48605,0.9658,0.34983,0.34714,0.26124,0.08466,2.8506,1.39578,0.87786,0.0007229,0.0007229,0.0007229
131,519.794,3.05192,1.46066,0.85052,0.34983,0.34714,0.26124,0.08466,2.8506,1.39578,0.87786,0.000713,0.000713,0.000713
132,524.136,2.62513,1.48829,0.91912,0.34983,0.34714,0.26124,0.08466,2.8506,1.39578,0.87786,0.0007031,0.0007031,0.0007031
133,529.019,2.58444,1.2456,0.84324,0.34983,0.34714,0.26124,0.08466,2.8506,1.39578,0.87786,0.0006932,0.0006932,0.0006932
134,532.13,2.4735,1.2002,0.86646,0.37058,0.36419,0.27607,0.08989,2.7987,1.37282,0.87406,0.0006833,0.0006833,0.0006833
135,536.955,2.59551,1.47155,0.87369,0.37058,0.36419,0.27607,0.08989,2.7987,1.37282,0.87406,0.0006734,0.0006734,0.0006734
136,540.006,2.84589,1.33038,0.86347,0.37058,0.36419,0.27607,0.08989,2.7987,1.37282,0.87406,0.0006635,0.0006635,0.0006635
137,543.169,4.38543,6.73572,1.10292,0.37058,0.36419,0.27607,0.08989,2.7987,1.37282,0.87406,0.0006536,0.0006536,0.0006536
138,546.998,3.27099,1.52928,0.88859,0.39583,0.38733,0.29582,0.10457,2.69445,1.32893,0.86921,0.0006437,0.0006437,0.0006437
139,552.04,2.81991,1.44287,0.8551,0.39583,0.38733,0.29582,0.10457,2.69445,1.32893,0.86921,0.0006338,0.0006338,0.0006338
140,555.938,2.66698,1.73125,0.86934,0.39583,0.38733,0.29582,0.10457,2.69445,1.32893,0.86921,0.0006239,0.0006239,0.0006239
141,559.138,2.26117,1.32253,0.85531,0.39583,0.38733,0.29582,0.10457,2.69445,1.32893,0.86921,0.000614,0.000614,0.000614
142,562.182,3.17203,1.73142,1.04389,0.41021,0.40012,0.31407,0.11896,2.57663,1.29641,0.8655,0.0006041,0.0006041,0.0006041
143,567.219,3.78256,3.56819,1.01551,0.41021,0.40012,0.31407,0.11896,2.57663,1.29641,0.8655,0.0005942,0.0005942,0.0005942
144,571.243,2.41898,1.27414,0.8356,0.41021,0.40012,0.31407,0.11896,2.57663,1.29641,0.8655,0.0005843,0.0005843,0.0005843
145,574.791,3.49778,2.19855,0.97506,0.41021,0.40012,0.31407,0.11896,2.57663,1.29641,0.8655,0.0005744,0.0005744,0.0005744
146,579.71,4.10047,2.77637,1.0201,0.42152,0.37698,0.32196,0.12513,2.54193,1.29992,0.8634,0.0005645,0.0005645,0.0005645
147,584.585,2.67646,1.41689,0.88928,0.42152,0.37698,0.32196,0.12513,2.54193,1.29992,0.8634,0.0005546,0.0005546,0.0005546
148,589.677,3.1308,1.66012,0.83351,0.42152,0.37698,0.32196,0.12513,2.54193,1.29992,0.8634,0.0005447,0.0005447,0.0005447
149,594.969,3.26537,1.66236,0.85946,0.42152,0.37698,0.32196,0.12513,2.54193,1.29992,0.8634,0.0005348,0.0005348,0.0005348
150,599.056,4.76373,4.94947,1.11484,0.45957,0.38307,0.34911,0.13134,2.51334,1.30254,0.86279,0.0005249,0.0005249,0.0005249
151,604.577,2.45477,1.41341,0.87687,0.45957,0.38307,0.34911,0.13134,2.51334,1.30254,0.86279,0.000515,0.000515,0.000515
152,609.46,2.578,1.54744,0.90701,0.45957,0.38307,0.34911,0.13134,2.51334,1.30254,0.86279,0.0005051,0.0005051,0.0005051
153,615.47,4.46158,3.40934,1.07494,0.45957,0.38307,0.34911,0.13134,2.51334,1.30254,0.86279,0.0004952,0.0004952,0.0004952
154,619.785,2.74078,2.49947,0.85428,0.42567,0.37942,0.33247,0.11684,2.58615,1.34993,0.86507,0.0004853,0.0004853,0.0004853
155,623.604,3.01644,1.60451,0.84208,0.42567,0.37942,0.33247,0.11684,2.58615,1.34993,0.86507,0.0004754,0.0004754,0.0004754
156,628.411,4.83278,9.24785,0.9776,0.42567,0.37942,0.33247,0.11684,2.58615,1.34993,0.86507,0.0004655,0.0004655,0.0004655
157,632.186,3.85193,1.74387,0.94391,0.42567,0.37942,0.33247,0.11684,2.58615,1.34993,0.86507,0.0004556,0.0004556,0.0004556
158,635.79,3.14547,1.77975,0.84765,0.39141,0.40195,0.32521,0.10662,2.68561,1.39456,0.86931,0.0004457,0.0004457,0.0004457
159,639.04,2.76804,1.67862,0.87904,0.39141,0.40195,0.32521,0.10662,2.68561,1.39456,0.86931,0.0004358,0.0004358,0.0004358
160,642.527,2.42296,1.46863,0.86129,0.39141,0.40195,0.32521,0.10662,2.68561,1.39456,0.86931,0.0004259,0.0004259,0.0004259
161,646.707,2.88874,1.6009,0.90365,0.39141,0.40195,0.32521,0.10662,2.68561,1.39456,0.86931,0.000416,0.000416,0.000416
162,650.258,2.39648,1.42497,0.86205,0.36067,0.38308,0.30108,0.08728,2.88737,1.425,0.87778,0.0004061,0.0004061,0.0004061
163,654.948,2.36944,1.33575,0.84321,0.36067,0.38308,0.30108,0.08728,2.88737,1.425,0.87778,0.0003962,0.0003962,0.0003962
164,658.815,2.83026,1.4938,0.83027,0.36067,0.38308,0.30108,0.08728,2.88737,1.425,0.87778,0.0003863,0.0003863,0.0003863
165,663.237,3.00034,1.80343,0.91718,0.36067,0.38308,0.30108,0.08728,2.88737,1.425,0.87778,0.0003764,0.0003764,0.0003764
166,666.527,2.3951,1.44026,0.86533,0.33822,0.38368,0.2861,0.08068,2.99682,1.4229,0.88204,0.0003665,0.0003665,0.0003665
